Experiment start
robot 1 0.3737974391128442
robot 1 0.3750863608148915
robot 1 0.3777978976559668
robot 1 0.3788168993437806
robot 1 0.37953606016094654
robot 1 0.3793467933395006
robot 1 0.38040367996513996
robot 1 0.38061879661853304
robot 1 0.3795762753799485
robot 1 0.37879736633119876
robot 1 0.3779744954781685
robot 1 0.3776069010693484
robot 1 0.3761854367912996
robot 1 0.37457970608307944
robot 1 0.37235590253532586
robot 1 0.3703405321291416
robot 1 0.3687988496357987
robot 1 0.36705775019279474
robot 1 0.36313698203995415
robot 1 0.36053490558561935
robot 1 0.35793856936969437
robot 1 0.35535147207689227
robot 1 0.35274832355684227
robot 1 0.35080592559457063
robot 1 0.3484314180892981
robot 1 0.3462680995634409
robot 1 0.3436919416008813
robot 1 0.341131173241591
robot 1 0.3392029689411414
robot 1 0.337502992770177
robot 1 0.336480063907005
robot 1 0.33583975367419766
robot 1 0.3334230842414909
robot 1 0.33266514228657623
robot 1 0.3321451263836514
robot 1 0.3320900318430503
robot 1 0.33231685917845133
robot 1 0.33204461385707673
robot 1 0.33358333745395213
robot 1 0.33413126213727656
robot 1 0.33612880900986863
robot 1 0.3374304094792937
robot 1 0.3387464112318568
robot 1 0.34069924210184305
robot 1 0.3432673770666821
robot 1 0.3472243346726694
robot 1 0.34693550985764665
robot 1 0.34968366309157073
robot 1 0.3524361084958326
robot 1 0.3559691235805744
robot 1 0.35828356776270714
robot 1 0.3610602768595078
robot 1 0.36370255171961385
robot 1 0.3657327515065495
robot 1 0.3677619760515292
robot 1 0.3696646098127531
robot 1 0.3717173398344162
robot 1 0.37425629430874563
robot 1 0.3750438484755026
robot 1 0.375738960442599
robot 1 0.3763585606029843
robot 1 0.37655989659002476
robot 1 0.3765784386478514
robot 1 0.3763603092546954
robot 1 0.37559914631904406
robot 1 0.37390251476735187
robot 1 0.372962068298128
robot 1 0.3702833744000431
robot 1 0.36828073839512404
robot 1 0.3678059815778804
robot 1 0.36342412780487326
robot 1 0.3612310794851225
robot 1 0.3590683680343699
robot 1 0.3553968867240826
robot 1 0.35322632158794115
robot 1 0.35085945423972353
robot 1 0.3484911266372053
robot 1 0.34573104938995514
robot 1 0.3438100802740254
robot 1 0.34281676168679054
robot 1 0.3417576797406201
robot 1 0.33988899083410706
robot 1 0.3387688560445459
robot 1 0.33868530154919524
robot 1 0.3377548483937133
robot 1 0.3379051213212218
robot 1 0.33877495963192233
